temp_k_4,temp_k_3,temp_k_2,temp_k_1,temp_k,cons_k_5,cons_k_4,cons_k_3,cons_k_2,cons_k_1,holiday,cons_k
9.469873476,8.624398675,1.052312212,12.74570041,11.69827858,275.2,286,266.7,267.9,293.1,1,304.5
11.12263984,9.469873476,8.624398675,1.052312212,12.74570041,279.7,275.2,286,266.7,267.9,0,293.1
11.9271781,11.12263984,9.469873476,8.624398675,1.052312212,266.2,279.7,275.2,286,266.7,0,267.9
13.46036867,11.9271781,11.12263984,9.469873476,8.624398675,259.5,266.2,279.7,275.2,286,1,266.7
14.80639905,13.46036867,11.9271781,11.12263984,9.469873476,239.8,259.5,266.2,279.7,275.2,1,286
16.26836656,14.80639905,13.46036867,11.9271781,11.12263984,232,239.8,259.5,266.2,279.7,0,275.2
14.70789269,16.26836656,14.80639905,13.46036867,11.9271781,225.6,232,239.8,259.5,266.2,0,279.7
9.708395116,14.70789269,16.26836656,14.80639905,13.46036867,273.2,225.6,232,239.8,259.5,0,266.2
7.846954976,9.708395116,14.70789269,16.26836656,14.80639905,293.7,273.2,225.6,232,239.8,1,259.5
10.89828922,7.846954976,9.708395116,14.70789269,16.26836656,261.9,293.7,273.2,225.6,232,1,239.8
10.65247655,10.89828922,7.846954976,9.708395116,14.70789269,280.1,261.9,293.7,273.2,225.6,1,232
9.958598058,10.65247655,10.89828922,7.846954976,9.708395116,294.6,280.1,261.9,293.7,273.2,1,225.6
12.54394438,9.958598058,10.65247655,10.89828922,7.846954976,292.6,294.6,280.1,261.9,293.7,0,273.2
14.19343378,12.54394438,9.958598058,10.65247655,10.89828922,367.7,292.6,294.6,280.1,261.9,0,293.7
14.17853425,14.19343378,12.54394438,9.958598058,10.65247655,288.4,367.7,292.6,294.6,280.1,0,261.9
16.71859945,14.17853425,14.19343378,12.54394438,9.958598058,255,288.4,367.7,292.6,294.6,0,280.1
18.6994079,16.71859945,14.17853425,14.19343378,12.54394438,235.1,255,288.4,367.7,292.6,0,294.6
16.211063,18.6994079,16.71859945,14.17853425,14.19343378,235.1,235.1,255,288.4,367.7,1,292.6
17.60103416,16.211063,18.6994079,16.71859945,14.17853425,229.6,235.1,235.1,255,288.4,1,367.7
17.22379879,17.60103416,16.211063,18.6994079,16.71859945,214.3,229.6,235.1,235.1,255,0,288.4
16.53344192,17.22379879,17.60103416,16.211063,18.6994079,211.5,214.3,229.6,235.1,235.1,0,255
17.63090592,16.53344192,17.22379879,17.60103416,16.211063,216,211.5,214.3,229.6,235.1,0,235.1
17.72789691,17.63090592,16.53344192,17.22379879,17.60103416,216.6,216,211.5,214.3,229.6,0,235.1
18.70497146,17.72789691,17.63090592,16.53344192,17.22379879,202.3,216.6,216,211.5,214.3,0,229.6
18.77821885,18.70497146,17.72789691,17.63090592,16.53344192,198.7,202.3,216.6,216,211.5,1,214.3
19.51385426,18.77821885,18.70497146,17.72789691,17.63090592,190.6,198.7,202.3,216.6,216,1,211.5
20.91501382,19.51385426,18.77821885,18.70497146,17.72789691,179.6,190.6,198.7,202.3,216.6,0,216
20.37876919,20.91501382,19.51385426,18.77821885,18.70497146,179.2,179.6,190.6,198.7,202.3,0,216.6
21.16417157,20.37876919,20.91501382,19.51385426,18.77821885,166.6,179.2,179.6,190.6,198.7,0,202.3
20.51167634,21.16417157,20.37876919,20.91501382,19.51385426,166.8,166.6,179.2,179.6,190.6,0,198.7
19.5128122,20.51167634,21.16417157,20.37876919,20.91501382,168.2,166.8,166.6,179.2,179.6,0,190.6
18.49358092,19.5128122,20.51167634,21.16417157,20.37876919,179.3,168.2,166.8,166.6,179.2,1,179.6
19.07967011,18.49358092,19.5128122,20.51167634,21.16417157,156.8,179.3,168.2,166.8,166.6,1,179.2
20.58599405,19.07967011,18.49358092,19.5128122,20.51167634,159.4,156.8,179.3,168.2,166.8,0,166.6
21.14854799,20.58599405,19.07967011,18.49358092,19.5128122,163.4,159.4,156.8,179.3,168.2,0,166.8
20.40759746,21.14854799,20.58599405,19.07967011,18.49358092,170.9,163.4,159.4,156.8,179.3,0,168.2
20.82850762,20.40759746,21.14854799,20.58599405,19.07967011,172.8,170.9,163.4,159.4,156.8,0,179.3
22.37485911,20.82850762,20.40759746,21.14854799,20.58599405,155.4,172.8,170.9,163.4,159.4,0,156.8
24.27684244,25.13211355,24.26038217,23.09321529,23.498653,143,134.79,138.36,128,122.5,0,136.5
23.53887552,24.27684244,25.13211355,24.26038217,23.09321529,143.7,143,134.79,138.36,128,0,122.5
23.64740798,23.53887552,24.27684244,25.13211355,24.26038217,139.3,143.7,143,134.79,138.36,1,128
21.65827531,23.64740798,23.53887552,24.27684244,25.13211355,135.3,139.3,143.7,143,134.79,1,138.36
21.03285385,21.65827531,23.64740798,23.53887552,24.27684244,152.8,135.3,139.3,143.7,143,1,134.79
